RST_NAME,LC_LA,LC_LO,RST_CATEGORY,VEGAN_MENU,RST_ADDR,RST_TEL
슬런치,37.545865,126.9208467,양식,비건치즈&#38;애플피자 플래터,서울특별시 마포구 와우산로3길 38,02-6367-9870
더플레이스,37.5555057,126.9737678,양식,비건 미트 샐러드,서울특별시 중구 한강대로 416,02-6456-8968
칙피스,37.519129,127.0247611,양식,비건 샐러드.비건버거.비건 샥슈카,서울특별시 강남구 강남대로152길 69,02-6956-6780
옐로우피자,37.5494611,126.9359991,양식,베지테리언(L).베지테리언(M),서울특별시 마포구 광성로 28,02-702-6107
워터스트리트,37.5410726,126.9898766,카페,오트카피라떼-비건라떼,서울특별시 용산구 회나무로13가길 3-9,02-720-0789
한과채밥집,37.5743587,126.9857345,기타,채식뷔페 1인,서울특별시 종로구 인사동10길 13,02-720-2802
꽃. 밥에 피다,37.5752881,126.984025,한식,비건코스 완전 소중한 꽃밥.비건코스 건강한 밥상,서울특별시 종로구 인사동16길 3-6,02-732-0276
오세계향,37.5746954,126.9852674,한식,비건짜장면(L).비건짜장면((M).비건짬뽕(M).비건짬뽕(L),서울특별시 종로구 인사동12길 14-5,02-735-7171
뉴문,37.5726246,126.970994,중식,트러플오일 비건 자장면,서울특별시 종로구 경희궁2길 6,02-739-7575
비건비거닝,37.5030383,127.0491231,카페,K-유기농 비건 시그니처 Gift Set.비건 버터 추가,서울특별시 강남구 선릉로85길 6,02-740-5060
페르시안궁전,37.5849114,126.9975637,기타,비건까스,서울특별시 종로구 성균관로6길 9,02-763-6050
워터밀,37.5734278,126.9901184,양식,비건 토마토 라따뚜이 숏 파스타,서울특별시 종로구 수표로28길 33-7,02-763-8877
식탁의 목적,37.5832058,126.9996779,한식,채식약밥,서울특별시 종로구 대명길 34,02-764-5696
운산,37.5292711,126.9248993,한식,채식정식,서울특별시 영등포구 여의공원로 101,02-780-6333
마치래빗,37.5220183,126.93006,기타,해피비건,서울특별시 영등포구 국제금융로8길 2,02-780-7003
차이나프로,37.5296087,126.9215695,중식,잡채식사,서울특별시 영등포구 국회대로74길 20,02-783-0150
미스터피자,37.5210051,126.9238388,기타,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),서울특별시 영등포구 의사당대로 108,02-784-0005
카니발피자,37.5305277,126.9213341,양식,베지테리안콤비네이션피자(WHOLE).베지테리안콤비네이션피자(HALF),서울특별시 영등포구 국회대로74길 9,02-784-0749
초록바구니,37.6645541,126.7545266,한식,채식한정식.채식테이스팅+와인음료페어링.채식한정식+와인음료페어링.비건채식.채식테이스팅,경기도 고양시 일산서구 한류월드로 300,02-790-3421
타르틴,37.5344274,127.0085312,베이커리.카페,렌틸 코코넛 커리스프(비건).렌틸 코코넛 커리스프(비건),서울특별시 용산구 한남대로18길 22,02-792-2423
봄베그릴,37.5332001,126.9962438,기타,채식주의 커리 런치세트,서울특별시 용산구 우사단로10길 11,02-792-7155
쏭타이,37.5337136,126.9926749,기타,쏨탐(비건).까이팟맷마무어(비건).팍붕화이뎅(비건).똠양꿍(비건).팟타이(비건).팟카파오무쌉(비건),서울특별시 용산구 이태원로20가길 7-2,02-798-2495
미스터피자,37.5036396,126.9214605,양식,베지테리안(오리진/R).베지테리안(오리진/L).베지테리안(치즈캡/R).베지테리안(치즈캡/L),서울특별시 영등포구 여의대방로 185,02-832-1507
미스터피자,37.6564802,127.0630002,양식,트러플베지테리안(R).트러플베지테리안(L),서울특별시 노원구 상계로 71,02-935-3325
카페반창고,37.5925749,127.0516833,카페,채식 당근 케이크,서울특별시 동대문구 경희대로1가길 18,02-969-4254
미스터피자,37.6026992,127.0795743,양식,트러플베지테리안(R/오리진).트러플베지테리안(L/오리진),서울특별시 중랑구 동일로 808,02-972-7479
땡스얼랏,37.2936189,127.0530776,카페,비건 라떼.비건 라떼(ICE),경기도 수원시 영통구 센트럴파크로127번길 106,031-212-3054
땡스얼랏,37.2936189,127.0530776,카페,비건 라떼(ICE).비건 라떼,경기도 수원시 영통구 센트럴파크로127번길 106,031-212-3054
미스터피자,37.2745205,127.0435641,양식,트러플베지테리안(L).트러플베지테리안(R),경기도 수원시 영통구 중부대로 254,031-213-5004
이츠굿 베이커리,37.2758482,127.0718775,베이커리.카페,야채식빵(큐브).야채식빵(큐브).야채식빵(미듐).야채식빵(미듐),경기도 용인시 기흥구 흥덕2로87번길 18,031-215-2799
필디스모먼트,37.2529876,127.0109167,카페,노비건 조각 케이크(오렌지얼그레이).비건호두파이(통밀).비건 바나나 브레드(통밀/no오일).비건 병아리콩 르뱅쿠키(통밀).비건 쑥 파운드.비건 스콘 7종(통밀/플레인).비건 스콘 7종(통밀/초코).비건 스콘 7종(통밀/말차).노비건 조각 케이크(그린티누텔라).비건 스콘 7종(통밀/흑임자).비건 스콘 7종(통밀/자색고구마).비건&글루텐프리 초코머핀(쌀).비건&글루텐프리 쿠키(쌀/초코).비건&글루텐프리 쿠키(쌀/얼그레이).비건 스콘 7종(통밀/쑥).비건&글루텐프리 쿠키(쌀/쑥).노비건 조각 케이크(다크오레오).비건 스콘 7종(통밀/얼그레이).노비건 조각 케이크(초코그린마블).노비건 조각 케이크(레드벨벳),경기도 수원시 권선구 정조로495번길 7-9,031-236-0908
미스터피자,37.2975031,127.0056297,양식,트러블베지테리안(R).트러블베지테리안(L),경기도 수원시 장안구 송원로 19,031-244-4118
피자연합,37.3031483,127.0080449,양식,베지테리안(M).베지테리안(L),경기도 수원시 장안구 경수대로 940,031-245-1415
카페노리,37.2930327,127.006335,카페,한끼샐러드(채식),경기도 수원시 장안구 영화로71번길 2,031-258-8418
미스터피자,37.2976683,126.8501978,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),경기도 안산시 상록구 석호로 161,031-416-3300
미스터피자,37.3952765,126.9187105,양식,트러플베지테리안 오리진(R).트러플베지테리안 오리진(L),경기도 안양시 만안구 장내로 92,031-469-5114
꼬타루,37.6252012,127.155394,베이커리.카페,비건불고기 파니니.비건불고기 파니니.비건바질 파니니.비건바질 파니니,경기도 남양주시 다산순환로 356,031-565-3030
미스터 피자,37.6490736,127.1208429,양식,트러플베지테리안(R).트러플베지테리안(L),경기도 남양주시 별내중앙로 83,031-575-9412
미스터피자,37.0672495,127.0612602,양식,트러플베지테리안(오리진/L).트러플베지테리안(오리진/R),경기도 평택시 관광특구로 21,031-611-7710
제이스팟,37.3942381,127.1103138,일식,베지테리언(lunch).베지테리언(Dinner),경기도 성남시 분당구 판교역로 152,031-622-7179
미스터피자,37.4116424,127.1276327,양식,트러플베지테리안(오리진/L).트러플베지테리안(오리진/R),경기도 성남시 분당구 야탑로69번길 24-8,031-703-7676
파스타 진,37.4509933,127.1606991,양식,베지테리언토마토,경기도 성남시 중원구 산성대로442번길 7,031-747-6124
오라운트,37.3713398,127.2463695,베이커리.카페,비건 라떼.비건 라떼,경기도 광주시 오포읍 양벌로 320-4,031-762-3793
미스터피자,37.3494661,127.3401445,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),경기도 광주시 곤지암읍 곤지암로 59,031-763-2017
미스터피자,37.5412085,127.20697,양식,트러플베지테리안(L).트러플베지테리안(R),경기도 하남시 하남대로 815,031-792-6363
미스터피자,37.2092207,127.0671122,양식,트러플베지테리안L.트러플베지테리안R,경기도 화성시 동탄시범한빛길 27,031-8003-2178
미스터피자,37.1305696,126.9228443,양식,트러플베지테리안(오리진/L).트러플베지테리안(오리진/R),경기도 화성시 향남읍 행정중앙2로 69-19,031-8059-1544
미스터피자,37.7432941,127.048917,양식,트러플베지테리안(R).트러플베지테리안(L),경기도 의정부시 호국로 1302,031-829-9077
미스터피자,37.3003364,127.0717995,양식,트러플베지테리안(R).트러플베지테리안(L),경기도 용인시 수지구 광교중앙로 338,031-896-0707
미스터피자,37.712113,126.7451347,양식,트러플베지테리안(R).트러플베지테리안(L),경기도 파주시 와석순환로 133,031-941-9289
케일리팜 키친,37.7155825,126.7647451,양식,비건 포케보울,경기도 파주시 송학1길 126-29,031-946-3457
미스터피자,37.8582919,126.7858552,양식,트러플베지테리안(L).트러플베지테리안(R),경기도 파주시 문산읍 문향로 74,031-952-1100
미스터피자,37.647206,126.6712619,양식,트러플베지테리안(L).트러플베지테리안(R),경기도 김포시 김포한강1로97번길 10-4,031-996-4958
캘리포니아피자키친,37.4059982,126.6836221,양식,크리스피 베이컨/새우/그릴드 치킨/비건 고기.비건 음료,인천광역시 연수구 청능대로 210,032-456-4390
샐러드스토리 샐리,37.5177391,126.7061812,기타,다이어트파스타(비건볼로네즈소스).다이어트토마토스튜(비건),인천광역시 부평구 평천로142번길 49,032-515-4959
미스터피자,37.5616189,126.6734667,양식,트러플베지테리안(L).트러플베지테리안(L./Cheese Cap).트러플베지테리안(R).트러플베지테리안(R/Cheese Cap),인천광역시 서구 승학로 446,032-568-5965
에이치123,37.3816291,126.657917,양식.카페,채식주의자가 좋아하는 풀모음(비건 샐러드).채식주의자도 버거를 먹는다(비건버거).채식주의자도 버거를 먹는다(비건버거).채식주의자가 좋아하는 풀모음(비건 샐러드),인천광역시 연수구 송도국제대로 123,032-727-2123
옐로우피자,37.4893398,126.5104955,양식,베지테리언(Large).베지테리언(Medium),,032-751-9100
예전,37.4743951,126.5976383,양식,베지테리언피자(L).베지테리언피자(S),인천광역시 중구 월미문화로 43-2,032-772-2256
누벨퀴진,37.8581235,127.7576266,기타,구운채소 통밀빵 샌드위치(비건),강원도 춘천시 동내면 외솔길19번길 71,033-263-7778
레스또란떼,37.7572911,128.0032223,양식,비건식 샐러드,강원도 홍천군 화촌면 서울양양고속도로 84,033-436-3000
미스터피자,37.520579,129.1144663,양식,트러플베지테리안(L).트러플베지테리안(R),강원도 동해시 중앙로 223,033-534-0877
미스터피자,37.4438518,129.1654523,양식,트러플베지테리안(R).트러플베지테리안(L),강원도 삼척시 척주로 16,033-575-1577
정혜영쿡,37.8320494,128.871503,양식,비건스테이크정식.비건까스정식,강원도 강릉시 사천면 본동길 242,033-647-6268
달래촌,37.9244662,128.7284535,한식,비건샐러드,강원도 양양군 현남면 화상천로 634,033-673-2201
미스터피자,36.6894879,126.8300397,양식,트러플베지테리안(R).트러플베지테리안(L),충청남도 예산군 예산읍 역전로 116,041-334-1112
미스터피자,36.8069929,127.148221,양식,트러플베지테리안(오리진/L).트러플베지테리안(오리진/R),충청남도 천안시 동남구 옛시청길 8,041-523-3637
피자유니온,36.9238857,127.0476082,양식,베지테리안(M).베지테리안(L),충청남도 아산시 둔포면 둔포로 130-23,041-532-7179
산들,36.8314203,127.1870353,기타,채식 뷔페(성인).채식 뷔페(초등학생).채식 뷔페(유아),충청남도 천안시 동남구 각원사길 150,041-558-5500
미스터피자,36.8778755,127.1568547,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),충청남도 천안시 서북구 성거읍 봉주로 93,041-583-1577
미스터피자,36.2812379,126.9102749,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),충청남도 부여군 부여읍 사비로 97,041-837-1177
미스터피자,36.3277854,127.426044,양식,트러플베지테리안(L).트러플베지테리안(R),대전광역시 중구 대종로 487,042-252-8899
태원,36.3461794,127.3817017,중식,채식짬뽕.채식매운짜장면.채식짬뽕밥.채식짜장면.채식잡채밥.채식매운짬뽕.채식짜장밥.채식야끼짬뽕(中).채식찜만두(6개).채식우동.채식양장피.채식쟁반짜장(小).채식쟁반짜장(中).채식송이짬뽕.채식마파두부밥.채식야끼짬뽕(小).채식피망잡채밥.채식잡채.채식야끼짬뽕밥.채식마파두부.채식고추잡채 꽃빵.채식잡채 꽃빵,대전광역시 서구 문정로 19,042-488-8838
미스터피자,36.3053459,127.3522323,양식,트러플베지테리안(R).트러플베지테리안(L),대전광역시 서구 계백로 1161,042-544-8077
미스터피자,36.3502326,127.43892,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),대전광역시 동구 동서대로 1705,042-626-7799
미스터피자,36.3502326,127.43892,양식,트러플베지테리안(오리진/R).트러플베지테리안(오리진/L),대전광역시 동구 동서대로 1705,042-626-7799
정김밥,36.3555747,127.3770799,한식,비건김밥,대전광역시 서구 둔산북로 22,042-710-0777
플레이버거,36.3966928,127.4046035,양식,베지테리언버거,대전광역시 유성구 전민로46번길 78,042-863-7336
미스터피자,36.7160481,127.4229181,양식,트러플베지테리안(L).트러플베지테리안(R),충청북도 청주시 청원구 오창읍 과학산업2로 379,043-213-7701
빵촌,36.6803507,127.1972621,베이커리.카페,야채식빵.야채식빵,,044-868-0044
미스터피자,35.1695609,129.178542,양식,트러플베지테리안(R).트러플베지테리안(L),부산광역시 해운대구 세실로 48,050-4109-6100
미스터피자,37.5810706,126.9259133,양식,트러플베지테리안(오리진/L).트러플베지테리안(오리진/R),서울특별시 서대문구 거북골로 10,050-4570-6327
미스터피자,37.5248506,127.0248599,양식,트러플베지테리안(R).트러플베지테리안(L),서울특별시 강남구 압구정로20길 7,050-7964-1435
미스터피자,37.5509213,126.8359753,양식,트러플베지테리안(R).트러플베지테리안(L),서울특별시 강서구 강서로 281,050-7964-1436
미스터피자,35.0569858,128.9712745,양식,트러플베지테리안(L).트러플베지테리안(R),부산광역시 사하구 다대로 551,051-264-1223
미스터피자,35.0972344,128.9248593,양식,트러플베지테리안(R).트러플베지테리안(L),부산광역시 강서구 명지국제8로 296,051-292-1577
미스터피자,35.128444,128.9694841,양식,트러플베지테리안(R).트러플베지테리안(L),부산광역시 사상구 낙동대로 751,051-311-1175
피자연합,35.0765355,129.0719843,양식,베지테리안L,부산광역시 영도구 동삼로28번길 7,051-405-4666
미스터피자,35.1898928,129.0719345,양식,트러플베지테리안(오리진/L/471kcal/2조각 183g/총 10조각 917g).트러플베지테리안(오리진/R/373kcal/2조각 141g/총 8조각 562g),부산광역시 연제구 월드컵대로 232,051-504-1521
편한집밥,35.2114876,129.0262475,한식,비건 오징어 튀김(大).비건 오징어 튀김(小).비건 무알콜 맥주,부산광역시 북구 만덕3로 28-10,051-516-1488
에코토피아,35.1416694,129.1095586,카페,채식 감자라면,부산광역시 수영구 수영로408번길 28,051-628-2802
더플레이스,35.0983052,129.0367023,양식,비건 미트 샐러드,부산광역시 중구 중앙대로 2,051-678-3106
팜트리,35.1868962,129.2043294,카페,비건 팟 카파오 시금치 무쌉,부산광역시 해운대구 송정중앙로9번길 88,051-704-1409
포르타나,35.1555173,129.1220877,양식,베지테리언,부산광역시 수영구 광안로61번길 60,051-741-1052
포르타나,35.1642735,129.1577588,양식,베지테리언,부산광역시 해운대구 우동1로20번길 21,051-741-1131
코키펍,35.1627175,129.1599612,기타,비건 샌드위치,부산광역시 해운대구 구남로 13-1,051-744-1207
카페해운대1994,35.1629713,129.1584586,카페,1994두유그릭요거트(비건/100g),부산광역시 해운대구 해운대로 620,051-744-1994
얼스톤,35.1642747,129.1637131,양식,비건 치즈케이크,부산광역시 해운대구 중동2로26번길 5,051-746-9100
조선델리,35.1558165,129.1540569,베이커리.카페,베지테리언 샌드위치.베지테리언 샌드위치,부산광역시 해운대구 동백로 67,051-749-7003
피자연합,35.1807067,129.1073459,양식,베지테리안(M).베지테리안(L),부산광역시 연제구 과정로 104,051-751-1570
피자연합,35.148092,129.0193169,양식,베지테리안L,부산광역시 부산진구 엄광로 30,051-898-1570
리틀티가든,35.6177852,129.0738843,카페,비건 가든 샐러드,울산광역시 울주군 상북면 신기길 50-1,052-211-6805
차미,35.5703148,129.1227565,한식,토마토 채식카레,울산광역시 울주군 언양읍 읍성로 133,052-254-4409
봄,35.535375,129.316037,한식,비건김밥,울산광역시 남구 삼산로77번길 10,052-933-0808
미스터피자,35.8887489,128.5918283,양식,트러플베지테리안(R).트러플베지테리안(L),대구광역시 북구 침산로 138,053-357-0066
미스터피자,35.9202828,128.5989673,양식,트러플베지테리안(R).트러플베지테리안(L),대구광역시 북구 호국로 207,053-956-9554
미스터피자,35.870882,128.7258101,양식,트러플베지테리안(L).트러플베지테리안(R),대구광역시 동구 안심로73길 22,053-965-1177
미스터피자,36.0822726,129.3965264,양식,트러플베지테리안(오리진엣지/L/10조각).트러플베지테리안(오리진엣지/R/8조각),경상북도 포항시 북구 천마로 63,054-248-1577
미스터피자,36.114293,128.3386819,양식,트러플베지테리안(R/오리진 엣지).트러플베지테리안(L/오리진 엣지),경상북도 구미시 신시로 71,054-451-0303
구구리제빵소,36.8183472,128.6084043,베이커리.카페,비건시 두부 브레드(저온숙성 천).비건식 현미찹쌀깜빠뉴(저온숙).비건식 현미찹쌀깜빠뉴(저온숙).비건시 두부 브레드(저온숙성 천),경상북도 영주시 대학로262번길 32,054-632-9920
미스터피자,35.84272,129.2127184,양식,트러플베지테리안(L/오리진 엣지).트러플베지테리안(R/오리진 엣지),,054-771-1492
미스터피자,35.864284,129.213202,양식,트러플베지테리안(오리진엣지/L/10조각).트러플베지테리안(오리진엣지/R/8조각),경상북도 경주시 황성로 7,054-772-1525
미스터피자,35.179942,128.559895,양식,트러플베지테리안(L).트러플베지테리안(R),경상남도 창원시 마산합포구 월영동서로 19,055-247-8544
미스터피자,35.1708434,128.8143011,양식,트러플베지테리안(R).트러플베지테리안(L),경상남도 김해시 율하2로115번길 13,055-326-7667
카페써니,35.2131904,128.8316532,카페,미니 비건 영양버거.비건 콩고기 비빔밥,경상남도 김해시 주촌면 골든루트로 80-16,055-337-9005
미스터피자,35.2257309,128.8832403,양식,트러플베지테리안(R).트러플베지테리안(L),경상남도 김해시 김해대로 2342,055-346-8282
미스터피자,35.4826228,128.7465113,양식,트러플베지테리안(R).트러플베지테리안(L),경상남도 밀양시 미리벌중앙로3길 24-17,055-356-8367
미스터피자,35.3363631,129.0284251,양식,트러플베지테리안(R).트러플베지테리안(L),경상남도 양산시 양산역4길 11,055-385-6555
미스터피자,35.151483,128.6629809,양식,트러플베지테리안(L).트러플베지테리안(R),경상남도 창원시 진해구 벚꽃로 63,055-551-2340
